File Path	Tags	Source	Confidence	Verified	Title	Authors	Year	DOI	ISBN	arXiv	Sanity Passed	Sanity Score	Auto Safe	Needs OCR	Notes	Imported	Error	Suggested Command	Vision Used	Vision Trigger	Vision Status	Vision Error	Final Source
/home/jacob/Literature_pre_papis/Hien_books_15/Knoblauch J et al. - JMLR - 2022.pdf	Hien_books_15	synthesized	medium	no	An Optimization-centric View on Bayes’ Rule: Reviewing and Generalizing Variational Inference	Jeremias Knoblauch; Jack Jewson; Theodoros Damoulas	2022				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Hien_books_15/Knoblauch J et al. - JMLR - 2022.pdf' --set title 'An Optimization-centric View on Bayes’ Rule: Reviewing and Generalizing Variational Inference' --set author 'Jeremias Knoblauch and Jack Jewson and Theodoros Damoulas' --set year 2022 --set tags Hien_books_15 --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Hien_books_2/Maillard G et al. - JMLR - 2021.pdf	Hien_books_2	synthesized	medium	no	Université Paris-Saclay, CNRS, Inria, Laboratoire de mathématiques d’Orsay, 91405, Orsay, France	Sylvain Arlot	2021				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Hien_books_2/Maillard G et al. - JMLR - 2021.pdf' --set title 'Université Paris-Saclay, CNRS, Inria, Laboratoire de mathématiques d’Orsay, 91405, Orsay, France' --set author 'Sylvain Arlot' --set year 2021 --set tags Hien_books_2 --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		synthesized
/home/jacob/Literature_pre_papis/Hien_books_3/2_7.pdf	Hien_books_3	filename_title_only	low	no	2 7						no	0.000	no	yes	best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		papis add /home/jacob/Literature_pre_papis/Hien_books_3/2_7.pdf --set title '2 7' --set tags Hien_books_3 --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		filename_title_only
/home/jacob/Literature_pre_papis/Hien_books_3/6.pdf	Hien_books_3	synthesized	medium	no	Handbook	Andrzej Ruszczyński; Alexander Shapiro	2002				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add /home/jacob/Literature_pre_papis/Hien_books_3/6.pdf --set title Handbook --set author 'Andrzej Ruszczyński and Alexander Shapiro' --set year 2002 --set tags Hien_books_3 --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		synthesized
/home/jacob/Literature_pre_papis/Hien_books_3/Current extra books/Lecture02.pdf	Hien_books_3, Current extra books	llm:llama-3.3-70b-versatile	medium	no	Random variables in Banach spaces						no	0.000	no	no	Extracted from Lecture 02.pdf | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Hien_books_3/Current extra books/Lecture02.pdf' --set title 'Random variables in Banach spaces' --set tags 'Hien_books_3 Current extra books' --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		llm:llama-3.3-70b-versatile
/home/jacob/Literature_pre_papis/Hien_books_3/PARTHASARATHY-1.pdf	Hien_books_3	llm:llama-3.3-70b-versatile	medium	no	PARTHASARATHY-1						no	0.000	no	yes	No relevant metadata found in the provided text or filename. | best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		papis add /home/jacob/Literature_pre_papis/Hien_books_3/PARTHASARATHY-1.pdf --set title PARTHASARATHY-1 --set tags Hien_books_3 --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		llm:llama-3.3-70b-versatile
/home/jacob/Literature_pre_papis/Hien_books_3/ass.pdf	Hien_books_3	filename_title_only	low	no	ass						no	0.000	no	yes	best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		papis add /home/jacob/Literature_pre_papis/Hien_books_3/ass.pdf --set title ass --set tags Hien_books_3 --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		filename_title_only
/home/jacob/Literature_pre_papis/Hien_books_3/hyperreals/1.pdf	Hien_books_3, hyperreals	pdfinfo	medium	no		jshipley	2004				no	0.000	no	yes	best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		papis add /home/jacob/Literature_pre_papis/Hien_books_3/hyperreals/1.pdf --set author jshipley --set year 2004 --set tags 'Hien_books_3 hyperreals' --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		pdfinfo
/home/jacob/Literature_pre_papis/Hien_slack/page1/Attouch, Hedy_Buttazzo, Giuseppe_Michaille, Gérard - Variational Analysis in Sobolev and BV Spaces_ Applications to Pdes and Optimization-SIAM-Society for Industrial and Applied Mathematics_ Society f.pdf	Hien_slack, page1	error	low	no							no	0.000	no	no	exception during processing	no	expected string or bytes-like object, got 'list'		no		exception	expected string or bytes-like object, got 'list'	error
/home/jacob/Literature_pre_papis/Hien_slack/page2/Knoblauch J et al. - JMLR - 2022.pdf	Hien_slack, page2	synthesized	medium	no	An Optimization-centric View on Bayes’ Rule: Reviewing and Generalizing Variational Inference	Jeremias Knoblauch; Jack Jewson; Theodoros Damoulas	2022				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Hien_slack/page2/Knoblauch J et al. - JMLR - 2022.pdf' --set title 'An Optimization-centric View on Bayes’ Rule: Reviewing and Generalizing Variational Inference' --set author 'Jeremias Knoblauch and Jack Jewson and Theodoros Damoulas' --set year 2022 --set tags 'Hien_slack page2' --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/MCMC/markov_chain/BOOK.pdf	MCMC, markov_chain	synthesized	medium	no	"!#""%$&""(' ) *,+ -.+0/21 ""435""06879) ) /0:;)"	<; = >@?BAC@DFEG?IHKJLEG?BM%NOD@P.QSRFRFTVUVWBX@A%Y[ZOE\?]YBA%^OC G^F`9>VA%M%EGab= E\> WcE\`5deEG?\PgfOhFhFi jlk					no	0.000	no	yes	combined local title/author/year candidates | best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		"papis add /home/jacob/Literature_pre_papis/MCMC/markov_chain/BOOK.pdf --set title '!#""%$&""('""'""' ) *,+ -.+0/21 ""435""06879) ) /0:;)' --set author '< and = >@?BAC@DFEG?IHKJLEG?BM%NOD@P.QSRFRFTVUVWBX@A%Y[ZOE\?]YBA%^OC G^F`9>VA%M%EGab= E\> WcE\`5deEG?\PgfOhFhFi jlk' --set tags 'MCMC markov_chain' --batch --no-confirm"	yes	hard-case: no_identifier	bad_response_shape		synthesized
